type,client,tx,amount
deposit,941,171,185.6981
deposit,124,172,165.7687
deposit,354,173,28.9931
deposit,79,174,751.2741
deposit,473,175,415.0614
deposit,806,176,246.0167
deposit,584,177,795.2028
deposit,614,178,897.2567
deposit,480,179,426.8164
deposit,430,180,627.0534
deposit,933,181,608.8092
deposit,619,182,966.7070
deposit,823,183,802.7649
deposit,889,184,612.5005
deposit,611,185,533.9201
deposit,799,186,731.1224
deposit,87,187,296.9345
deposit,679,188,226.9542
deposit,360,189,437.8820
deposit,216,190,836.7180
deposit,628,191,418.1337
deposit,615,192,286.7757
deposit,321,193,634.4068
deposit,563,194,898.6250
deposit,111,195,160.1006
deposit,938,196,895.0822
deposit,253,197,160.3699
deposit,311,198,764.4386
deposit,609,199,121.2017
deposit,162,200,534.9122
deposit,113,201,115.6794
deposit,734,202,264.7549
deposit,686,203,132.8427
deposit,265,204,613.2019
deposit,170,205,483.3981
deposit,507,206,991.4523
deposit,304,207,729.5964
deposit,856,208,205.2974
deposit,923,209,534.1535
deposit,847,210,401.3236
deposit,44,211,920.7045
deposit,72,212,194.4731
deposit,893,213,747.6716
deposit,136,214,636.4374
deposit,561,215,868.3076
deposit,329,216,998.4469
deposit,75,217,791.9151
deposit,670,218,230.7279
deposit,527,219,24.0014
deposit,376,220,566.5371
deposit,275,221,120.8989
deposit,799,222,251.0203
deposit,324,223,907.2432
deposit,229,224,297.4539
deposit,399,225,23.8867
deposit,729,226,895.5799
deposit,795,227,62.6115
deposit,651,228,656.8750
deposit,808,229,373.5870
deposit,27,230,527.4833
deposit,695,231,448.1590
deposit,4,232,835.7322
deposit,617,233,926.0914
deposit,422,234,855.6713
deposit,796,235,542.6016
deposit,775,236,639.5341
deposit,226,237,712.7111
deposit,107,238,680.8719
deposit,618,239,305.2594
deposit,209,240,553.6045
deposit,470,241,520.7607
deposit,983,242,789.5687
deposit,693,243,128.4028
deposit,883,244,721.1100
deposit,394,245,19.3828
deposit,752,246,128.8960
deposit,83,247,16.5701
deposit,821,248,278.1046
deposit,107,249,942.0325
deposit,755,250,277.6161
deposit,796,251,246.7267
deposit,884,252,214.3888
deposit,266,253,350.4302
deposit,339,254,884.7997
deposit,561,255,835.8080
deposit,341,256,852.4339
deposit,766,257,983.2437
deposit,603,258,707.5279
deposit,260,259,835.3019
deposit,821,260,321.8692
deposit,776,261,894.2310
deposit,352,262,436.3892
deposit,528,263,259.3472
deposit,969,264,865.3262
deposit,210,265,116.2635
deposit,139,266,380.5923
deposit,316,267,473.7606
deposit,16,268,924.7815
deposit,614,269,797.2722
deposit,631,270,894.6719
deposit,50,271,260.8849
deposit,806,272,62.1180
deposit,930,273,568.7496
deposit,234,274,857.2969
deposit,526,275,124.7199
deposit,439,276,303.8947
deposit,388,277,456.0481
deposit,772,278,261.8632
deposit,984,279,717.2330
deposit,297,280,902.7630
deposit,676,281,53.7854
deposit,3,282,397.2554
deposit,356,283,418.5311
deposit,774,284,540.0590
deposit,17,285,431.7710
deposit,758,286,552.5789
deposit,570,287,439.7583
deposit,484,288,828.1617
deposit,524,289,652.4631
deposit,15,290,592.9572
deposit,43,291,153.7737
deposit,962,292,354.5049
deposit,214,293,698.2897
deposit,631,294,782.2195
deposit,914,295,103.1038
deposit,790,296,908.5302
deposit,708,297,491.3437
deposit,157,298,844.0399
deposit,669,299,643.3939
deposit,470,300,523.2845
deposit,555,301,583.3329
deposit,302,302,506.9044
deposit,393,303,785.8308
deposit,686,304,945.9527
deposit,58,305,416.4636
deposit,743,306,729.7231
deposit,916,307,687.6870
deposit,159,308,471.0488
deposit,930,309,56.4504
deposit,404,310,484.0830
deposit,134,311,352.5207
deposit,887,312,672.6377
deposit,71,313,213.2340
deposit,27,314,403.2237
deposit,9,315,131.1117
deposit,95,316,142.6412
deposit,473,317,372.2956
deposit,881,318,58.7931
deposit,85,319,497.0810
deposit,168,320,700.7132
deposit,812,321,449.0809
deposit,156,322,378.7755
deposit,563,323,294.1295
deposit,95,324,361.2336
deposit,605,325,106.4228
deposit,220,326,683.5615
deposit,523,327,526.7688
deposit,890,328,58.1099
deposit,104,329,312.7100
deposit,462,330,726.1603
deposit,75,331,847.5653
deposit,312,332,589.1704
deposit,674,333,151.1052
deposit,566,334,301.7117
deposit,87,335,774.8035
deposit,328,336,815.8103
deposit,114,337,71.3759
deposit,993,338,806.6966
deposit,249,339,160.0883
deposit,362,340,311.2178
deposit,27,341,409.2560
deposit,94,342,36.6502
deposit,474,343,961.1775
deposit,451,344,563.1840
deposit,594,345,750.4304
deposit,631,346,630.9230
deposit,552,347,571.7210
deposit,274,348,831.9363
deposit,240,349,783.9678
deposit,994,350,100.9200
deposit,983,351,953.5194
deposit,958,352,197.3501
deposit,148,353,485.4832
deposit,482,354,259.7686
deposit,197,355,883.5291
deposit,772,356,887.1170
deposit,338,357,214.8999
deposit,518,358,40.8705
deposit,704,359,456.3184
deposit,945,360,629.8499
deposit,575,361,17.3687
deposit,239,362,735.9907
deposit,976,363,852.0819
deposit,424,364,476.6595
deposit,651,365,482.9441
deposit,833,366,524.2218
deposit,419,367,368.0008
deposit,4,368,765.0977
deposit,213,369,72.5942
deposit,111,370,176.5145
deposit,446,371,578.4320
deposit,367,372,921.6093
deposit,622,373,900.0369
deposit,258,374,829.1404
deposit,223,375,694.8511
deposit,969,376,433.0460
deposit,195,377,191.8806
deposit,697,378,305.2287
deposit,263,379,216.6037
deposit,472,380,527.6389
deposit,13,381,173.1010
deposit,386,382,769.1935
deposit,849,383,410.7677
deposit,203,384,374.1328
deposit,400,385,366.0586
deposit,96,386,957.8107
deposit,671,387,965.1133
deposit,257,388,779.5423
deposit,982,389,434.9944
deposit,187,390,216.2554
deposit,539,391,30.1497
deposit,587,392,445.4701
deposit,955,393,829.4173
deposit,779,394,498.8609
deposit,807,395,661.5346
deposit,483,396,985.0304
deposit,742,397,870.1632
deposit,80,398,599.5929
deposit,190,399,20.1657
deposit,722,400,374.4436
deposit,774,401,633.4905
deposit,329,402,276.4181
deposit,865,403,398.7083
deposit,445,404,522.3044
deposit,675,405,627.0563
deposit,941,406,531.2099
deposit,488,407,240.1967
deposit,316,408,682.0810
deposit,281,409,775.0499
deposit,925,410,12.5137
deposit,548,411,480.2031
deposit,935,412,500.7755
deposit,646,413,854.9969
deposit,110,414,808.1336
deposit,920,415,264.7523
deposit,764,416,548.1536
deposit,927,417,991.9394
deposit,836,418,359.1583
deposit,695,419,363.9038
deposit,180,420,456.6371
deposit,435,421,862.3628
deposit,664,422,349.0779
deposit,612,423,690.2344
deposit,366,424,559.6905
deposit,259,425,418.0772
deposit,815,426,489.9766
deposit,791,427,650.2048
deposit,715,428,192.8020
deposit,321,429,355.3564
deposit,232,430,368.6335
deposit,741,431,894.5581
deposit,392,432,612.6593
deposit,783,433,70.0522
deposit,579,434,62.1789
deposit,646,435,58.1358
deposit,358,436,473.1628
deposit,467,437,368.5614
deposit,62,438,553.9537
deposit,709,439,723.6708
deposit,899,440,771.7035
deposit,174,441,255.9677
deposit,387,442,848.6065
deposit,408,443,65.0258
deposit,992,444,614.4436
deposit,498,445,659.9477
deposit,210,446,586.8074
deposit,57,447,273.5015
deposit,39,448,736.5458
deposit,207,449,564.9702
deposit,122,450,917.9435
deposit,757,451,104.8891
deposit,737,452,83.2748
deposit,67,453,756.1201
deposit,110,454,659.2265
deposit,51,455,249.0602
deposit,246,456,877.1142
deposit,750,457,841.3550
deposit,742,458,263.7672
deposit,913,459,589.9252
deposit,847,460,486.7488
deposit,719,461,966.7313
deposit,733,462,693.5660
deposit,642,463,705.0369
deposit,629,464,919.7811
deposit,203,465,89.0471
deposit,425,466,209.3439
deposit,899,467,496.2757
deposit,367,468,216.5595
deposit,817,469,368.8220
deposit,794,470,152.8091
deposit,299,471,449.1636
deposit,45,472,187.7637
deposit,65,473,386.8550
deposit,923,474,601.9016
deposit,312,475,682.0466
deposit,316,476,280.7367
deposit,492,477,378.7395
deposit,957,478,220.8312
deposit,349,479,997.3885
deposit,29,480,933.0051
deposit,509,481,733.5731
deposit,80,482,994.4352
deposit,275,483,948.2699
deposit,662,484,951.4791
deposit,456,485,773.3038
deposit,361,486,110.6658
deposit,689,487,744.1142
deposit,217,488,159.2582
deposit,946,489,848.8002
deposit,75,490,726.5417
deposit,678,491,107.3109
deposit,299,492,647.1577
deposit,669,493,22.5651
deposit,278,494,521.3253
deposit,134,495,845.1387
deposit,60,496,794.0980
deposit,888,497,519.8490
deposit,479,498,458.3636
deposit,282,499,509.0728
deposit,52,500,738.4259
deposit,909,501,536.6974
deposit,819,502,493.1197
deposit,519,503,630.9151
deposit,333,504,263.7543
deposit,763,505,653.6067
deposit,744,506,586.7849
deposit,992,507,586.2924
deposit,243,508,546.0248
deposit,254,509,899.5203
deposit,509,510,266.5648
deposit,290,511,602.7013
deposit,386,512,822.8510
deposit,61,513,833.9568
deposit,114,514,553.1955
deposit,466,515,302.9137
deposit,937,516,781.0270
deposit,765,517,32.9445
deposit,705,518,456.6668
deposit,182,519,948.8789
deposit,568,520,907.3200
deposit,956,521,594.1710
deposit,603,522,402.9117
deposit,365,523,614.8813
deposit,491,524,649.3275
deposit,295,525,367.0025
deposit,3,526,519.2854
deposit,104,527,170.1438
deposit,165,528,336.2511
deposit,702,529,604.6368
deposit,405,530,274.0498
deposit,113,531,841.6459
deposit,854,532,948.7067
deposit,692,533,37.8690
deposit,977,534,422.5673
deposit,827,535,590.0419
deposit,631,536,449.8691
deposit,580,537,309.2789
deposit,570,538,98.2055
deposit,998,539,550.8487
deposit,596,540,184.8426
deposit,162,541,270.6618
deposit,32,542,825.8605
deposit,449,543,488.9956
deposit,510,544,221.1992
deposit,59,545,999.2894
deposit,148,546,203.1834
deposit,651,547,808.3331
deposit,953,548,959.7363
deposit,89,549,784.1529
deposit,47,550,191.7596
deposit,191,551,768.4052
deposit,704,552,723.5799
deposit,379,553,235.1998
deposit,798,554,35.2391
deposit,533,555,891.1259
deposit,693,556,996.4539
deposit,149,557,803.7853
deposit,128,558,692.3835
deposit,448,559,155.2552
deposit,8,560,754.0052
deposit,731,561,50.2619
deposit,264,562,181.3302
deposit,475,563,353.0736
deposit,558,564,517.9036
deposit,888,565,985.8138
deposit,742,566,510.3664
deposit,24,567,910.3340
deposit,269,568,575.7931
deposit,157,569,117.3915
deposit,344,570,387.2864
deposit,570,571,958.4567
deposit,719,572,125.9120
deposit,413,573,864.0236
deposit,928,574,254.1229
deposit,57,575,165.0080
deposit,583,576,605.7355
deposit,808,577,602.4509
deposit,25,578,731.9971
deposit,859,579,585.8382
deposit,481,580,478.2098
deposit,479,581,717.3600
deposit,487,582,410.1617
deposit,314,583,252.5472
deposit,107,584,263.8715
deposit,17,585,183.5544
deposit,625,586,281.1304
deposit,868,587,797.1214
deposit,360,588,461.0416
deposit,787,589,305.7981
deposit,472,590,767.6046
deposit,930,591,292.0104
deposit,794,592,762.3841
deposit,194,593,179.8909
deposit,271,594,857.6941
deposit,180,595,41.8809
deposit,56,596,197.8221
deposit,513,597,581.9513
deposit,663,598,570.2381
deposit,154,599,41.1652
deposit,222,600,604.6052
deposit,667,601,941.6328
deposit,198,602,262.0978
deposit,112,603,577.2131
deposit,504,604,199.5459
deposit,144,605,296.5947
deposit,592,606,965.0912
deposit,457,607,499.9098
deposit,935,608,387.0813
deposit,248,609,635.4240
deposit,350,610,222.0046
deposit,313,611,718.6917
deposit,881,612,566.3593
deposit,303,613,382.3840
deposit,16,614,911.6949
deposit,650,615,496.8939
deposit,385,616,662.5851
deposit,475,617,418.6053
deposit,859,618,991.5698
deposit,226,619,427.9861
deposit,488,620,594.2942
deposit,615,621,222.1799
deposit,192,622,436.6586
deposit,139,623,187.9325
deposit,656,624,582.0549
deposit,331,625,222.4024
deposit,295,626,553.0736
deposit,859,627,885.9262
deposit,746,628,360.6826
deposit,706,629,642.2786
deposit,665,630,371.4601
deposit,299,631,296.6150
deposit,975,632,84.0873
deposit,356,633,831.7088
deposit,353,634,211.0553
deposit,589,635,506.2425
deposit,708,636,573.0338
deposit,10,637,503.6295
deposit,679,638,557.1851
deposit,832,639,442.7913
deposit,658,640,272.3337
deposit,714,641,81.7187
deposit,347,642,763.8545
deposit,817,643,409.0530
deposit,141,644,113.3383
deposit,970,645,417.2247
deposit,244,646,344.4890
deposit,392,647,814.6157
deposit,26,648,967.0028
deposit,774,649,469.4621
deposit,459,650,268.5746
deposit,520,651,58.6391
deposit,877,652,773.0538
deposit,513,653,631.1055
deposit,585,654,854.8146
deposit,522,655,437.9180
deposit,95,656,125.5708
deposit,55,657,935.5691
deposit,973,658,788.9632
deposit,512,659,172.0904
deposit,547,660,816.2428
deposit,653,661,242.1061
deposit,100,662,415.1231
deposit,249,663,814.9452
deposit,557,664,376.2079
deposit,863,665,26.1451
deposit,412,666,443.8225
deposit,232,667,287.9934
deposit,361,668,79.1663
deposit,776,669,972.5929
deposit,131,670,57.8639
deposit,552,671,850.3641
deposit,273,672,994.7080
deposit,626,673,81.2544
deposit,706,674,435.9854
deposit,796,675,476.7102
deposit,696,676,132.3654
deposit,958,677,62.1162
deposit,716,678,908.8473
deposit,45,679,35.1358
deposit,260,680,373.3379
deposit,411,681,792.9468
deposit,240,682,587.5770
deposit,384,683,667.6182
deposit,803,684,247.7632
deposit,66,685,612.4240
deposit,336,686,584.9214
deposit,502,687,47.3046
deposit,346,688,453.5549
deposit,406,689,235.2637
deposit,288,690,681.1672
deposit,636,691,985.7728
deposit,887,692,109.0788
deposit,249,693,128.1462
deposit,2,694,207.6588
deposit,839,695,620.5945
deposit,240,696,164.3107
deposit,925,697,381.5643
deposit,803,698,967.7602
deposit,417,699,718.4360
deposit,481,700,313.8220
deposit,797,701,299.7202
deposit,949,702,404.2412
deposit,12,703,297.2235
deposit,584,704,674.0862
deposit,412,705,597.8527
deposit,230,706,467.9509
deposit,799,707,856.7714
deposit,231,708,394.5069
deposit,270,709,396.0726
deposit,485,710,175.5371
deposit,14,711,370.7696
deposit,883,712,508.5454
deposit,274,713,265.3043
deposit,565,714,929.7243
deposit,11,715,501.7637
deposit,131,716,982.3538
deposit,451,717,358.0616
deposit,244,718,345.0863
deposit,676,719,232.9521
deposit,646,720,699.4808
deposit,277,721,854.0877
deposit,626,722,52.0615
deposit,991,723,975.5328
deposit,889,724,145.6014
deposit,597,725,907.8614
deposit,673,726,820.2920
deposit,521,727,51.6998
deposit,971,728,125.9912
deposit,104,729,662.8421
deposit,78,730,540.8590
deposit,294,731,616.6177
deposit,165,732,483.7935
deposit,845,733,301.6953
deposit,978,734,806.2906
deposit,303,735,364.7021
deposit,460,736,39.9929
deposit,699,737,33.1680
deposit,928,738,350.2622
deposit,963,739,580.7232
deposit,351,740,159.0408
deposit,768,741,652.9496
deposit,260,742,123.4573
deposit,132,743,638.6361
deposit,1,744,807.7935
deposit,199,745,785.5181
deposit,667,746,285.6298
deposit,271,747,253.8378
deposit,839,748,504.5190
deposit,885,749,107.7777
deposit,728,750,820.1140
deposit,344,751,567.5663
deposit,150,752,98.5340
deposit,513,753,889.9969
deposit,109,754,434.7913
deposit,37,755,415.2865
deposit,406,756,866.0666
deposit,831,757,483.8047
deposit,801,758,991.7364
deposit,348,759,194.4139
deposit,623,760,476.4712
deposit,418,761,834.6438
deposit,378,762,282.9389
deposit,496,763,504.8091
deposit,180,764,914.1405
deposit,49,765,570.4154
deposit,551,766,389.4596
deposit,622,767,115.1584
deposit,227,768,510.9522
deposit,747,769,608.5370
deposit,577,770,715.8193
deposit,333,771,576.8813
deposit,69,772,84.7973
deposit,888,773,599.4748
deposit,304,774,822.1336
deposit,30,775,199.0235
deposit,96,776,613.6943
deposit,968,777,527.1468
deposit,223,778,473.2576
deposit,884,779,386.1835
deposit,504,780,341.2694
deposit,912,781,345.6144
deposit,169,782,398.6532
deposit,5,783,905.7852
deposit,890,784,670.8987
deposit,247,785,808.0242
deposit,962,786,650.3834
deposit,979,787,674.7960
deposit,21,788,80.8293
deposit,966,789,623.1641
deposit,885,790,383.3140
deposit,274,791,571.9662
deposit,746,792,270.3315
deposit,735,793,914.4756
deposit,890,794,784.4584
deposit,676,795,258.5823
deposit,338,796,675.8634
deposit,688,797,344.5563
deposit,455,798,591.9415
deposit,868,799,877.0664
deposit,78,800,215.5324
deposit,365,801,149.1636
deposit,258,802,657.0266
deposit,792,803,902.8743
deposit,145,804,325.8286
deposit,451,805,12.2564
deposit,577,806,918.8085
deposit,496,807,744.2017
deposit,24,808,575.6868
deposit,818,809,512.6938
deposit,366,810,724.7584
deposit,868,811,953.7769
deposit,268,812,673.0347
deposit,811,813,842.5229
deposit,585,814,720.2269
deposit,555,815,369.2443
deposit,413,816,741.3286
deposit,150,817,582.3857
deposit,230,818,123.6996
deposit,493,819,139.2906
deposit,637,820,501.1675
deposit,721,821,677.9637
deposit,106,822,251.6175
deposit,719,823,369.7105
deposit,264,824,706.4924
deposit,248,825,767.2655
deposit,263,826,876.7298
deposit,175,827,515.4891
deposit,184,828,429.0819
deposit,73,829,23.1160
deposit,331,830,624.3782
deposit,453,831,968.8558
deposit,361,832,789.1537
deposit,878,833,57.6096
deposit,285,834,718.2214
deposit,7,835,249.7399
deposit,171,836,94.7346
deposit,530,837,367.9968
deposit,982,838,604.2161
deposit,843,839,846.1251
deposit,613,840,628.4902
deposit,411,841,747.3056
deposit,42,842,25.3341
deposit,736,843,102.8819
deposit,271,844,518.8138
deposit,782,845,835.5169
deposit,663,846,569.1146
deposit,346,847,500.0443
deposit,567,848,962.0276
deposit,342,849,259.9715
deposit,976,850,936.0277
deposit,730,851,670.0041
deposit,181,852,236.0206
deposit,113,853,149.7961
deposit,243,854,914.7498
deposit,259,855,100.8289
deposit,77,856,185.2144
deposit,692,857,316.5285
deposit,147,858,922.6600
deposit,606,859,29.2161
deposit,138,860,337.5322
deposit,915,861,761.8559
deposit,878,862,648.1180
deposit,509,863,928.4519
deposit,602,864,916.8125
deposit,193,865,908.6996
deposit,682,866,786.6634
deposit,267,867,578.8315
deposit,600,868,586.3480
deposit,229,869,926.1113
deposit,483,870,774.5876
deposit,410,871,686.7079
deposit,329,872,863.2901
deposit,294,873,554.7944
deposit,282,874,901.7892
deposit,259,875,101.9951
deposit,610,876,338.7347
deposit,334,877,48.1451
deposit,18,878,381.1360
deposit,469,879,790.1813
deposit,241,880,772.8650
deposit,878,881,491.6609
deposit,416,882,957.1644
deposit,276,883,820.4473
deposit,181,884,211.5791
deposit,964,885,735.8297
deposit,566,886,688.3527
deposit,727,887,13.6954
deposit,762,888,144.2302
deposit,844,889,206.7724
deposit,743,890,497.6729
deposit,639,891,887.8328
deposit,631,892,642.0543
deposit,228,893,868.6953
deposit,10,894,473.8086
deposit,151,895,621.5461
deposit,994,896,366.4458
deposit,105,897,92.4420
deposit,784,898,378.0992
deposit,376,899,731.7345
deposit,124,900,484.5435
deposit,504,901,834.9245
deposit,402,902,869.9179
deposit,112,903,526.4782
deposit,934,904,884.3106
deposit,548,905,326.8722
deposit,916,906,636.4089
deposit,542,907,317.3836
deposit,474,908,692.8957
deposit,469,909,455.1298
deposit,154,910,537.7994
deposit,305,911,278.4260
deposit,657,912,952.4071
deposit,528,913,172.4705
deposit,738,914,682.1197
deposit,409,915,18.7336
deposit,215,916,611.1836
deposit,457,917,30.2319
deposit,780,918,516.5397
deposit,256,919,10.1750
deposit,378,920,819.6943
deposit,323,921,609.8857
deposit,471,922,291.4062
deposit,176,923,907.4840
deposit,987,924,392.1260
deposit,911,925,397.6507
deposit,799,926,192.6204
deposit,792,927,312.0084
deposit,878,928,641.4470
deposit,565,929,65.7246
deposit,983,930,124.3174
deposit,90,931,338.1859
deposit,826,932,620.9707
deposit,887,933,606.1791
deposit,698,934,124.5893
deposit,992,935,18.4573
deposit,94,936,416.0921
deposit,102,937,36.5349
deposit,253,938,725.9565
deposit,741,939,154.2453
deposit,526,940,806.8539
deposit,226,941,212.7264
deposit,129,942,827.1622
deposit,584,943,35.0118
deposit,82,944,589.3063
deposit,767,945,674.8703
deposit,602,946,521.6402
deposit,185,947,801.5722
deposit,642,948,657.5355
deposit,513,949,633.7335
deposit,217,950,598.2350
deposit,888,951,48.7381
deposit,690,952,935.4653
deposit,718,953,914.1140
deposit,256,954,479.5386
deposit,207,955,216.7466
deposit,443,956,839.4692
deposit,590,957,311.7335
deposit,493,958,147.8122
deposit,736,959,702.3610
deposit,938,960,890.1006
deposit,605,961,709.7844
deposit,574,962,175.5367
deposit,130,963,168.7885
deposit,876,964,18.6845
deposit,373,965,822.4569
deposit,212,966,323.5825
deposit,871,967,256.4138
deposit,396,968,13.5901
deposit,669,969,322.6745
deposit,687,970,445.9850
deposit,74,971,942.7018
deposit,35,972,473.6954
deposit,435,973,624.5157
deposit,86,974,530.6329
deposit,754,975,113.0491
deposit,168,976,163.7433
deposit,3,977,921.6812
deposit,78,978,294.0747
deposit,475,979,645.1235
deposit,229,980,67.0077
deposit,129,981,473.3983
deposit,520,982,808.1077
deposit,172,983,254.3629
deposit,881,984,90.8331
deposit,413,985,678.3408
deposit,858,986,674.5862
deposit,78,987,362.2132
deposit,529,988,152.4534
deposit,68,989,951.7060
deposit,45,990,936.1793
deposit,68,991,36.5902
deposit,361,992,424.5140
deposit,580,993,457.0179
deposit,11,994,650.8831
deposit,859,995,100.4946
deposit,563,996,32.3541
deposit,380,997,302.7657
deposit,16,998,620.2350
deposit,784,999,483.6904
deposit,217,1000,115.7392
deposit,307,1001,797.9335
deposit,958,1002,283.7835
deposit,319,1003,706.5186
deposit,179,1004,30.9812
deposit,720,1005,167.9729
deposit,171,1006,42.6284
deposit,574,1007,290.3725
deposit,167,1008,357.7565
deposit,672,1009,453.9848
deposit,973,1010,629.6541
deposit,478,1011,919.6773
deposit,645,1012,449.9117
deposit,971,1013,277.1630
deposit,667,1014,590.2449
deposit,70,1015,416.7629
deposit,503,1016,715.5648
deposit,306,1017,132.0245
deposit,730,1018,362.9031
deposit,724,1019,785.5425
deposit,448,1020,842.6805
deposit,29,1021,233.1167
deposit,984,1022,363.9453
deposit,908,1023,252.0133
deposit,159,1024,574.7253
deposit,583,1025,120.3469
deposit,404,1026,543.0748
deposit,422,1027,814.6439
deposit,674,1028,757.1547
deposit,977,1029,191.4434
deposit,220,1030,865.4552
deposit,94,1031,681.0821
deposit,660,1032,726.6417
deposit,102,1033,405.4498
deposit,150,1034,586.2646
deposit,596,1035,563.5455
deposit,366,1036,868.0376
deposit,342,1037,691.4403
deposit,620,1038,740.0307
deposit,244,1039,127.4076
deposit,307,1040,677.4660
deposit,815,1041,570.8531
deposit,531,1042,23.4428
deposit,100,1043,292.3652
deposit,485,1044,877.5846
deposit,816,1045,834.4475
deposit,85,1046,538.4226
deposit,945,1047,679.1820
deposit,554,1048,346.1410
deposit,682,1049,407.3775
deposit,45,1050,779.7708
deposit,415,1051,897.0721
deposit,258,1052,362.2875
deposit,775,1053,295.1084
deposit,300,1054,224.9990
deposit,321,1055,159.7537
deposit,491,1056,667.2650
deposit,426,1057,47.1045
deposit,864,1058,595.7268
deposit,503,1059,955.0250
deposit,447,1060,423.3350
deposit,457,1061,945.8484
deposit,112,1062,105.4885
deposit,705,1063,912.1764
deposit,784,1064,31.4544
deposit,107,1065,285.6423
deposit,272,1066,657.9597
deposit,552,1067,503.4076
deposit,408,1068,376.5849
deposit,511,1069,958.2446
